agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email,date
FLIXBUS,FlixBus,https://www.flixbus.de/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-02-13
FLIXBUS,FlixBus,https://www.flixbus.de/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-02-15
FLIXBUS,FlixBus,https://www.flixbus.de/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-02-17
FLIXBUS,FlixBus,https://www.flixbus.de/?wt_mc=earned.earned.earned.maps.google.google.google.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.google.google.google.ad,service@flixbus.com,2017-03-01
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-03-09
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-03-22
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-04-13
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.google.google.google.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.google.google.google.ad,service@flixbus.com,2017-04-24
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-05-11
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-06-07
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-06-15
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.ndovloket.ndovloket.ndovloket.ad,service@flixbus.com,2017-07-26
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.google.google.google.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.google.google.google.ad,service@flixbus.com,2017-09-16
FLIXBUS,FlixBus,https://www.flixbus.com/?wt_mc=earned.earned.earned.maps.google.google.google.ad,UTC,en,4930300137300.0,https://shop.flixbus.com/?wt_mc=earned.earned.earned.maps.google.google.google.ad,service@flixbus.com,2017-10-06
